"姓名" "年龄" "身高" "体重" "俱乐部" "位置" "惯用脚" "逆足能力" "花式技巧" "国际声誉" "传中" "射术" "头球精度" "短传" "凌空" "盘带" "弧线" "任意球精度" "长传" "控球" "加速" "速度" "敏捷" "移动反应" "平衡" "射门力量" "弹跳" "体能" "强壮" "远射" "侵略性" "拦截意识" "跑位" "视野" "点球" "沉着" "盯人" "抢断" "铲球" "鱼跃" "手形" "开球" "站位" "守门反应" "联赛" "球队位置" "综合能力"
"Andrés Iniesta Luján" 31 170.18 150 "巴塞罗那" "左中中场" "右脚" 4 4 5 79 73 54 92 74 90 80 70 86 92 76 75 83 88 87 65 54 64 59 74 58 68 85 92 71 88 57 57 56 6 13 6 13 7 "西甲" "中场" 88
"David De Gea Quintana" 24 193.04 181 "曼彻斯特联" "守门员" "右脚" 3 1 3 17 13 21 31 13 13 21 19 32 31 51 55 57 84 43 31 67 25 64 12 38 30 12 68 40 64 13 21 13 88 81 86 85 89 "英超" "守门员" 90
"Sergio Ramos García" 29 182.88 165 "皇家马德里" "左中后卫" "右脚" 3 3 4 74 60 86 76 66 57 73 68 70 83 78 79 82 82 60 77 91 86 80 55 83 88 52 63 68 76 85 89 90 11 8 9 7 11 "西甲" "后场" 89
"Sergio Busquets i Burgos" 26 187.96 168 "巴塞罗那" "后腰" "右脚" 3 3 4 62 60 70 89 44 74 66 68 79 82 54 48 58 83 55 61 66 88 77 54 86 87 77 85 60 82 83 86 80 5 8 13 9 13 "西甲" "中场" 86
"Francesc Fàbregas i Soler" 28 175.26 163 "切尔西" "右后腰" "右脚" 3 3 4 86 76 74 92 81 81 77 81 91 87 65 62 65 83 77 77 68 81 64 78 45 54 80 92 80 92 62 64 62 6 10 8 15 15 "英超" "中场" 86
"David Josué Jiménez Silva" 29 170.18 148 "曼彻斯特城" "左中场" "左脚" 2 4 4 85 72 54 92 80 87 83 77 85 91 79 68 93 84 88 71 66 68 56 79 51 41 83 93 77 92 23 30 29 1 1 1 1 1 "英超" "中场" 87
"Santiago Cazorla González" 30 167.64 146 "阿森纳" "左后腰" "右脚" 5 4 3 85 77 58 86 72 86 86 78 84 87 77 66 85 85 91 78 71 72 60 82 64 55 82 85 80 88 56 62 48 6 9 5 7 15 "英超" "中场" 85
"Diego da Silva Costa" 26 187.96 187 "切尔西" "中锋" "右脚" 4 3 4 63 88 82 65 81 82 58 59 48 82 75 78 63 85 52 83 60 85 91 69 90 40 88 74 76 84 28 39 34 11 13 12 8 11 "英超" "前场" 86
"Gerard Piqué Bernabéu" 28 193.04 187 "巴塞罗那" "右中后卫" "右脚" 3 2 4 57 64 82 83 57 59 58 43 80 76 56 68 58 81 44 62 74 69 83 51 68 88 58 62 69 76 86 87 83 10 11 14 15 8 "西甲" "后场" 87
"Jordi Alba Ramos" 26 170.18 150 "巴塞罗那" "左后卫" "左脚" 3 3 3 82 73 60 77 60 80 77 64 70 82 93 92 89 81 87 64 81 90 67 66 75 82 77 68 59 75 79 84 82 13 15 13 6 13 "西甲" "后场" 86
"Francisco Román Alarcón Suárez" 23 175.26 163 "皇家马德里" "主力替补" "右脚" 3 4 3 72 76 59 85 64 87 86 74 78 89 77 71 84 79 84 72 64 78 59 81 58 48 77 84 76 76 25 43 37 10 8 12 15 6 "西甲" "替补" 85
"Javier Martínez Aginaga" 26 190.5 179 "拜仁慕尼黑" "右中后卫" "右脚" 3 2 3 60 55 86 77 61 63 61 45 76 71 49 54 54 82 58 78 70 62 85 63 88 85 57 76 52 83 81 86 87 5 12 9 11 8 "德甲" "后场" 85
"Pedro Eliezer Rodríguez Ledesma" 27 167.64 137 "切尔西" "左中场" "右脚" 5 4 3 78 80 55 83 70 84 81 57 74 85 86 79 84 85 82 71 67 78 56 73 56 49 84 74 66 72 30 32 31 5 11 12 15 9 "英超" "中场" 83
"Thiago Alcântara do Nascimento" 24 175.26 154 "拜仁慕尼黑" "左中中场" "右脚" 3 4 3 72 69 58 88 88 90 83 77 83 88 77 68 90 80 85 77 72 69 59 82 67 65 81 84 75 81 49 58 59 6 11 7 9 13 "德甲" "中场" 86
"Juan Manuel Mata García" 27 170.18 139 "曼彻斯特联" "右中中场" "左脚" 3 3 3 83 77 63 86 71 85 83 83 77 88 78 63 90 87 89 74 72 76 43 72 52 39 84 88 81 85 25 28 21 9 10 14 5 8 "英超" "中场" 85
"Jorge Resurrección Merodio" 23 177.8 163 "马德里竞技" "右中场" "右脚" 4 3 3 84 71 62 85 56 80 85 73 86 86 76 72 78 84 79 81 61 83 72 80 68 58 80 88 59 75 50 51 48 14 12 5 10 13 "西甲" "中场" 84
